what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1351200302373
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351200305372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351200316980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351200318091
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1351200320888
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200330776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200333901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200335124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200335942
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200336533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200339746
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200340742
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200341169
started,bundle,org.eclipse.wb.os,1.3.0.r37x201202052311,"org.eclipse.wb.os",1351200346470
started,bundle,org.eclipse.wb.os.win32,1.3.0.r37x201202052311,"org.eclipse.wb.os.win32",1351200346492
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1351200347404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1351200348771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200457141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200467649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1351200468691
